Model Name,Provider,Dataset,AA-LCR,τ²-Bench Telecom
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,20.00%,68.40%
Arctic Instruct,Snowflake,Snowflake training dataset,N/A,N/A
Aya Expanse 32B,Cohere,Cohere training dataset,10.70%,0.00%
Aya Expanse 8B,Cohere,Cohere training dataset,0.00%,0.00%
Codestral (May '24),Mistral,Mistral training dataset,N/A,N/A
Codestral-Mamba,Mistral,Mistral training dataset,N/A,N/A
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,21.70%,N/A
Command A,Cohere,Cohere training dataset,18.00%,15.20%
Command-R (Aug '24),Cohere,Cohere training dataset,N/A,N/A
Command-R (Mar '24),Cohere,Cohere training dataset,N/A,N/A
Command-R+ (Apr '24),Cohere,Cohere training dataset,N/A,N/A
Command-R+ (Aug '24),Cohere,Cohere training dataset,N/A,N/A
DBRX Instruct,Databricks,Databricks training dataset,N/A,N/A
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,N/A,N/A
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,N/A,N/A
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,N/A,N/A
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,N/A,N/A
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,52.30%,11.40%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,54.70%,36.50%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,13.00%,0.00%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,11.00%,21.90%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,0.00%,N/A
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,0.30%,N/A
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,7.00%,N/A
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,9.70%,N/A
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,29.00%,22.80%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,41.00%,47.10%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,45.00%,34.80%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,53.30%,37.40%
