Model Name,Provider,Dataset,SciCode,GPQA Diamond,Humanity's Last Exam
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,34.80%,71.30%,12.00%
Arctic Instruct,Snowflake,Snowflake training dataset,N/A,N/A,N/A
Aya Expanse 32B,Cohere,Cohere training dataset,14.90%,23.00%,4.50%
Aya Expanse 8B,Cohere,Cohere training dataset,7.80%,24.70%,5.10%
Codestral (May '24),Mistral,Mistral training dataset,21.80%,25.50%,5.10%
Codestral-Mamba,Mistral,Mistral training dataset,10.80%,21.00%,5.40%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,41.00%,76.80%,11.00%
Command A,Cohere,Cohere training dataset,28.10%,52.70%,4.60%
Command-R (Aug '24),Cohere,Cohere training dataset,8.70%,28.90%,5.10%
Command-R (Mar '24),Cohere,Cohere training dataset,6.20%,28.40%,4.80%
Command-R+ (Apr '24),Cohere,Cohere training dataset,11.80%,32.30%,4.50%
Command-R+ (Aug '24),Cohere,Cohere training dataset,12.20%,33.70%,5.00%
DBRX Instruct,Databricks,Databricks training dataset,11.80%,33.10%,6.60%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,9.10%,27.00%,4.30%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,22.80%,38.20%,3.90%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,13.90%,31.90%,5.30%
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,N/A,N/A,N/A
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,35.70%,70.80%,9.30%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,40.30%,81.30%,14.90%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,20.40%,61.20%,5.60%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,31.20%,40.20%,6.10%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,11.90%,30.20%,4.20%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,6.60%,9.80%,3.30%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,23.90%,48.40%,4.40%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,37.60%,61.50%,5.50%
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,35.40%,55.70%,3.60%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,35.80%,65.50%,5.20%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,36.70%,73.50%,6.30%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,39.10%,77.90%,13.00%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,32.10%,75.10%,8.40%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,40.60%,79.20%,15.20%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,39.90%,73.80%,8.60%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,37.70%,79.70%,13.80%
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,N/A,N/A,N/A
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,N/A,N/A,N/A
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,N/A,N/A,N/A
DeepSeek-V2.5,DeepSeek,DeepSeek training dataset,N/A,N/A,N/A
DeepSeek-V2.5 (Dec '24),DeepSeek,DeepSeek training dataset,N/A,N/A,N/A
Devstral Small (Jul '25),Mistral,Mistral training dataset,24.30%,41.40%,3.70%
Devstral Small (May '25),Mistral,Mistral training dataset,24.50%,43.40%,4.00%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,40.70%,76.40%,13.30%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,31.50%,81.10%,3.50%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,25.20%,62.80%,4.90%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,34.40%,73.90%,10.50%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,7.40%,42.40%,5.80%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,9.30%,51.50%,5.80%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,34.80%,78.20%,12.20%
GLM-4.5-Air,Z AI,Z AI training dataset,30.60%,73.30%,6.80%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,18.80%,57.30%,3.60%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,22.10%,68.40%,5.90%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,33.10%,63.20%,5.20%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,38.40%,78.00%,13.30%
Gemma 2 27B,Google,Google training dataset,12.50%,35.70%,3.70%
Gemma 2 9B,Google,Google training dataset,0.70%,31.10%,3.90%
Gemma 3 12B Instruct,Google,Google training dataset,17.40%,34.90%,4.80%
Gemma 3 1B Instruct,Google,Google training dataset,0.70%,23.70%,5.20%
Gemma 3 270M,Google,Google training dataset,0.00%,22.40%,4.20%
Gemma 3 27B Instruct,Google,Google training dataset,21.20%,42.80%,4.70%
Gemma 3 4B Instruct,Google,Google training dataset,7.30%,29.10%,5.20%
Gemma 3n E2B Instruct,Google,Google training dataset,5.20%,22.90%,4.00%
Gemma 3n E4B Instruct,Google,Google training dataset,8.10%,29.60%,4.40%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,10.10%,33.80%,4.20%
Granite 4.0 1B,IBM,IBM training dataset,8.70%,28.10%,5.10%
Granite 4.0 350M,IBM,IBM training dataset,0.90%,26.10%,5.70%
Granite 4.0 H 1B,IBM,IBM training dataset,8.20%,26.30%,5.00%
Granite 4.0 H 350M,IBM,IBM training dataset,1.70%,25.70%,6.40%
Granite 4.0 H Small,IBM,IBM training dataset,20.90%,41.60%,3.70%
Granite 4.0 Micro,IBM,IBM training dataset,11.90%,33.60%,5.10%
Grok 2 (Dec '24),xAI,xAI training dataset,28.50%,51.00%,3.80%
Grok-1,xAI,xAI training dataset,N/A,N/A,N/A
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,23.10%,40.10%,4.10%
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,34.60%,53.60%,4.20%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,25.20%,72.70%,10.30%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,27.70%,49.10%,3.60%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,34.10%,69.90%,7.90%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,18.40%,38.70%,4.00%
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,10.10%,30.00%,4.60%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,18.80%,39.00%,3.80%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,9.30%,32.20%,4.50%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,5.90%,33.30%,4.60%
Kimi K2,Moonshot AI,Moonshot AI training dataset,34.50%,76.60%,7.00%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,30.70%,76.70%,6.30%
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,42.40%,83.80%,22.30%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,19.90%,41.20%,2.70%
LFM 40B,Liquid AI,Liquid AI training dataset,7.10%,32.70%,4.90%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,2.50%,22.80%,5.70%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,2.50%,30.60%,5.20%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,6.80%,34.40%,4.90%
Ling-1T,InclusionAI,InclusionAI training dataset,35.20%,71.90%,7.20%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,28.90%,65.70%,6.30%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,13.50%,56.20%,5.00%
Llama 2 Chat 13B,Meta,Meta training dataset,11.80%,32.10%,4.70%
Llama 2 Chat 70B,Meta,Meta training dataset,N/A,32.70%,5.00%
Llama 2 Chat 7B,Meta,Meta training dataset,0.00%,22.70%,5.80%
Llama 3 Instruct 70B,Meta,Meta training dataset,18.90%,37.90%,4.40%
Llama 3 Instruct 8B,Meta,Meta training dataset,11.90%,29.60%,5.10%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,29.90%,51.50%,4.20%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,26.70%,40.90%,4.60%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,13.20%,25.90%,5.10%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,23.30%,46.50%,4.60%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,10.10%,40.80%,5.10%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,34.70%,72.80%,8.10%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,30.20%,51.60%,3.50%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,11.20%,22.10%,5.20%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,1.70%,19.60%,5.30%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,5.20%,25.50%,5.20%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,24.00%,43.20%,4.90%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,26.00%,49.80%,4.00%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,22.90%,51.70%,3.50%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,28.20%,64.30%,6.50%
Llama 4 Maverick,Meta,Meta training dataset,33.10%,67.10%,4.80%
Llama 4 Scout,Meta,Meta training dataset,17.00%,58.70%,4.30%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,23.80%,48.10%,4.30%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,34.80%,74.80%,6.80%
Magistral Medium 1.2,Mistral,Mistral training dataset,39.20%,73.90%,9.60%
Magistral Small 1.2,Mistral,Mistral training dataset,35.20%,66.30%,6.10%
MiniMax M1 40k,MiniMax,MiniMax training dataset,37.80%,68.20%,7.50%
MiniMax M1 80k,MiniMax,MiniMax training dataset,37.40%,69.70%,8.20%
MiniMax-M2,MiniMax,MiniMax training dataset,36.10%,77.70%,12.50%
MiniMax-Text-01,MiniMax,MiniMax training dataset,25.00%,57.80%,4.20%
Ministral 8B,Mistral,Mistral training dataset,11.50%,27.60%,4.90%
Mistral 7B Instruct,Mistral,Mistral training dataset,2.40%,17.70%,4.30%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,27.10%,47.20%,3.20%
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,29.20%,48.60%,4.00%
Mistral Medium 3.1,Mistral,Mistral training dataset,33.80%,58.80%,4.40%
Mistral NeMo,Mistral,Mistral training dataset,10.40%,31.40%,4.40%
Mistral Small (Sep '24),Mistral,Mistral training dataset,15.60%,38.10%,4.30%
Mistral Small 3,Mistral,Mistral training dataset,23.60%,46.20%,4.10%
Mistral Small 3.1,Mistral,Mistral training dataset,26.50%,45.40%,4.80%
Mistral Small 3.2,Mistral,Mistral training dataset,26.40%,50.50%,4.30%
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,18.80%,33.20%,4.10%
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,2.80%,29.20%,4.50%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,3.60%,24.00%,5.10%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,20.90%,55.70%,4.00%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,22.00%,57.00%,4.60%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,8.00%,32.80%,3.70%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,3.70%,28.80%,5.50%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,N/A,23.00%,4.80%
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,11.80%,32.60%,4.50%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,9.00%,31.90%,4.40%
