Model Name,Provider,Dataset,Use Case Score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,64.05%
MiniMax-M2,MiniMax,MiniMax training dataset,59.21%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,57.10%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,56.82%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,56.16%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,55.70%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,55.47%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,53.62%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,53.28%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,53.16%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,52.35%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,50.90%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,50.33%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,50.07%
Qwen3 Max,Alibaba,Alibaba training dataset,49.56%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,49.54%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,49.45%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,48.83%
Kimi K2,Moonshot AI,Moonshot AI training dataset,48.54%
Magistral Medium 1.2,Mistral,Mistral training dataset,48.24%
MiniMax M1 80k,MiniMax,MiniMax training dataset,47.28%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,47.17%
MiniMax M1 40k,MiniMax,MiniMax training dataset,45.62%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,44.70%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,44.49%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,44.35%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,43.55%
GLM-4.5-Air,Z AI,Z AI training dataset,43.55%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,43.34%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,43.18%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,43.17%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,42.63%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,41.97%
Llama 4 Maverick,Meta,Meta training dataset,41.62%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,40.66%
Qwen2.5 Max,Alibaba,Alibaba training dataset,40.35%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,39.10%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,38.87%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,38.64%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,38.60%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,38.59%
Ling-1T,InclusionAI,InclusionAI training dataset,38.51%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,38.18%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,37.75%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,37.55%
