Model Name,Provider,Dataset,Use Case Score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,61.47%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,58.93%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,57.86%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,57.69%
MiniMax-M2,MiniMax,MiniMax training dataset,57.19%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,56.84%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,55.06%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,53.63%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,53.02%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,52.92%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,52.22%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,52.07%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,50.52%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,50.37%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,50.19%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,49.83%
MiniMax M1 80k,MiniMax,MiniMax training dataset,48.66%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,48.12%
Magistral Medium 1.2,Mistral,Mistral training dataset,47.76%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,47.49%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,47.43%
MiniMax M1 40k,MiniMax,MiniMax training dataset,47.11%
Kimi K2,Moonshot AI,Moonshot AI training dataset,47.05%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,46.88%
Qwen3 Max,Alibaba,Alibaba training dataset,46.67%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,44.95%
Llama 4 Maverick,Meta,Meta training dataset,44.29%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,44.26%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,44.06%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,43.84%
GLM-4.5-Air,Z AI,Z AI training dataset,42.97%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,42.96%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,42.12%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,42.02%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,41.75%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,40.48%
Qwen2.5 Max,Alibaba,Alibaba training dataset,40.35%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,39.63%
Ling-1T,InclusionAI,InclusionAI training dataset,38.71%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,38.49%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,38.39%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,38.00%
