model_name,provider,price_per_1m_input_tokens,price_per_1m_output_tokens,price_blended,median_output_tokens_per_sec,median_ttft_seconds
Apriel-v1.5-15B-Thinker,ServiceNow,0,0,0,145.221,0.179
Arctic Instruct,Snowflake,0,0,0,,
Aya Expanse 32B,Cohere,0.5,1.5,0.75,42.043,0.311
Aya Expanse 8B,Cohere,0.5,1.5,0.75,81.177,0.229
Codestral (May '24),Mistral,0,0,0,0,0
Codestral-Mamba,Mistral,0,0,0,0,0
Cogito v2.1 (Reasoning),Deep Cogito,0,0,0,,
Command A,Cohere,2.5,10,4.375,59.115,0.357
Command-R (Aug '24),Cohere,0.15,0.6,0.263,59.329,0.244
Command-R (Mar '24),Cohere,0.5,1.5,0.75,0,0
Command-R+ (Apr '24),Cohere,3,15,6,0,0
DBRX Instruct,Databricks,0,0,0,,
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,0,0,0,0,0
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,0,0,0,0,0
DeepSeek Coder V2 Lite Instruct,DeepSeek,0,0,0,0,0
DeepSeek LLM 67B Chat (V1),DeepSeek,0,0,0,0,0
DeepSeek R1 (Jan '25),DeepSeek,1.35,4,2.362,0,0
DeepSeek R1 0528 (May '25),DeepSeek,1.35,4,2.362,0,0
DeepSeek R1 0528 Qwen3 8B,DeepSeek,0.06,0.09,0.068,73.952,0.861
DeepSeek R1 Distill Llama 70B,DeepSeek,0.8,1.05,0.875,100.064,0.902
DeepSeek R1 Distill Llama 8B,DeepSeek,0,0,0,0,0
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,0,0,0,0,0
DeepSeek R1 Distill Qwen 14B,DeepSeek,0.15,0.15,0.15,50.505,1.05
DeepSeek R1 Distill Qwen 32B,DeepSeek,0.285,0.285,0.285,92.115,0.544
DeepSeek V3 (Dec '24),DeepSeek,0.4,0.89,0.625,0,0
DeepSeek V3 0324,DeepSeek,1.14,1.25,1.25,0,0
DeepSeek V3.1 (Non-reasoning),DeepSeek,0.56,1.66,0.84,0,0
DeepSeek V3.1 (Reasoning),DeepSeek,0.425,1.34,0.654,0,0
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,0.4,1.68,0.8,0,0
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,0.4,2,0.8,0,0
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,0.28,0.42,0.315,27.227,1.147
DeepSeek V3.2 Exp (Reasoning),DeepSeek,0.28,0.42,0.315,29.104,1.326
DeepSeek-Coder-V2,DeepSeek,0,0,0,0,0
DeepSeek-OCR,DeepSeek,0.03,0.1,0.048,313.776,0.186
DeepSeek-V2-Chat,DeepSeek,0,0,0,0,0
DeepSeek-V2.5,DeepSeek,0,0,0,0,0
