Model Name,Provider,Dataset,LiveCodeBench,IFBench,Terminal-Bench Hard,Coding Index
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,72.80%,61.70%,9.90%,39.20%
Arctic Instruct,Snowflake,Snowflake training dataset,N/A,N/A,N/A,N/A
Aya Expanse 32B,Cohere,Cohere training dataset,13.70%,28.80%,0.70%,9.80%
Aya Expanse 8B,Cohere,Cohere training dataset,7.00%,24.10%,0.00%,4.90%
Codestral (May '24),Mistral,Mistral training dataset,21.30%,N/A,N/A,N/A
Codestral-Mamba,Mistral,Mistral training dataset,13.30%,N/A,N/A,N/A
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,68.80%,46.30%,15.60%,41.80%
Command A,Cohere,Cohere training dataset,28.70%,36.50%,0.70%,19.20%
Command-R (Aug '24),Cohere,Cohere training dataset,4.40%,N/A,N/A,N/A
Command-R (Mar '24),Cohere,Cohere training dataset,4.80%,N/A,N/A,N/A
Command-R+ (Apr '24),Cohere,Cohere training dataset,12.20%,N/A,N/A,N/A
Command-R+ (Aug '24),Cohere,Cohere training dataset,11.10%,N/A,N/A,N/A
DBRX Instruct,Databricks,Databricks training dataset,9.30%,N/A,N/A,N/A
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,8.50%,N/A,N/A,N/A
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,19.50%,N/A,N/A,N/A
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,15.80%,N/A,N/A,N/A
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,N/A,N/A,N/A,N/A
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,61.70%,39.00%,5.70%,34.40%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,77.00%,39.60%,14.90%,44.10%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,51.30%,19.90%,1.40%,24.40%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,26.60%,27.60%,1.40%,19.70%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,23.30%,17.60%,N/A,N/A
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,7.00%,13.20%,N/A,N/A
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,37.60%,22.10%,N/A,N/A
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,27.00%,22.90%,N/A,N/A
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,35.90%,34.80%,6.40%,25.90%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,40.50%,41.00%,14.20%,30.20%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,57.70%,37.80%,22.70%,39.00%
