Model Name,Provider,Dataset,Math 500,AIME,AIME 2025,Math Index
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,N/A,N/A,87.50%,87.50%
Arctic Instruct,Snowflake,Snowflake training dataset,N/A,N/A,N/A,N/A
Aya Expanse 32B,Cohere,Cohere training dataset,44.90%,0.00%,2.30%,2.30%
Aya Expanse 8B,Cohere,Cohere training dataset,32.10%,0.00%,0.00%,0.00%
Codestral (May '24),Mistral,Mistral training dataset,35.40%,0.00%,N/A,N/A
Codestral-Mamba,Mistral,Mistral training dataset,24.00%,0.00%,N/A,N/A
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,N/A,N/A,72.70%,72.70%
Command A,Cohere,Cohere training dataset,81.90%,9.70%,13.00%,13.00%
Command-R (Aug '24),Cohere,Cohere training dataset,14.90%,0.30%,N/A,N/A
Command-R (Mar '24),Cohere,Cohere training dataset,16.40%,0.70%,N/A,N/A
Command-R+ (Apr '24),Cohere,Cohere training dataset,27.90%,0.70%,N/A,N/A
Command-R+ (Aug '24),Cohere,Cohere training dataset,40.20%,0.00%,N/A,N/A
DBRX Instruct,Databricks,Databricks training dataset,27.90%,3.00%,N/A,N/A
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,21.80%,0.00%,N/A,N/A
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,59.50%,4.70%,N/A,N/A
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,N/A,N/A,N/A,N/A
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,N/A,N/A,N/A,N/A
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,96.60%,68.30%,68.00%,68.00%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,98.30%,89.30%,76.00%,76.00%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,93.20%,65.00%,63.70%,63.70%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,93.50%,67.00%,53.70%,53.70%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,85.30%,33.30%,41.30%,41.30%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,68.70%,17.70%,22.00%,22.00%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,94.90%,66.70%,55.70%,55.70%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,94.10%,68.70%,63.00%,63.00%
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,88.70%,25.30%,26.00%,26.00%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,94.20%,52.00%,41.00%,41.00%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,N/A,N/A,49.70%,49.70%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,N/A,N/A,89.70%,89.70%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,N/A,N/A,53.70%,53.70%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,N/A,N/A,89.70%,89.70%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,N/A,N/A,57.70%,57.70%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,N/A,N/A,87.70%,87.70%
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,74.30%,N/A,N/A,N/A
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,N/A,N/A,N/A,N/A
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,N/A,N/A,N/A,N/A
DeepSeek-V2.5,DeepSeek,DeepSeek training dataset,N/A,N/A,N/A,N/A
DeepSeek-V2.5 (Dec '24),DeepSeek,DeepSeek training dataset,76.30%,N/A,N/A,N/A
Devstral Small (Jul '25),Mistral,Mistral training dataset,63.50%,0.30%,29.30%,29.30%
Devstral Small (May '25),Mistral,Mistral training dataset,68.40%,6.70%,N/A,N/A
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,N/A,N/A,79.30%,79.30%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,93.10%,49.30%,41.30%,41.30%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,93.90%,47.00%,39.30%,39.30%
