Model Name,Provider,Dataset,Use Case Score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,59.87%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,59.15%
MiniMax-M2,MiniMax,MiniMax training dataset,56.65%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,54.45%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,52.85%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,52.67%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,52.59%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,52.02%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,51.87%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,49.98%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,49.96%
Qwen3 Max,Alibaba,Alibaba training dataset,49.22%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,49.20%
Magistral Medium 1.2,Mistral,Mistral training dataset,48.20%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,47.97%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,47.56%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,47.52%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,47.42%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,47.38%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,47.33%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,47.03%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,46.10%
Magistral Small 1.2,Mistral,Mistral training dataset,45.56%
MiniMax M1 80k,MiniMax,MiniMax training dataset,45.42%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,45.30%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,44.94%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,44.56%
Ring-1T,InclusionAI,InclusionAI training dataset,43.77%
MiniMax M1 40k,MiniMax,MiniMax training dataset,43.43%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,43.18%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,43.11%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,42.93%
QwQ 32B,Alibaba,Alibaba training dataset,42.89%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,42.53%
Ling-1T,InclusionAI,InclusionAI training dataset,42.43%
GLM-4.5-Air,Z AI,Z AI training dataset,42.28%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,42.18%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,42.01%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,41.41%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,41.32%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,41.05%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,40.74%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,40.67%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,40.66%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,40.52%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,40.36%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,40.13%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,39.67%
Kimi K2,Moonshot AI,Moonshot AI training dataset,39.55%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,38.88%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,38.77%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,38.72%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,37.99%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,37.95%
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,37.33%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,37.30%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,36.93%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,36.67%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,36.49%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,35.88%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,35.46%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,35.33%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,34.73%
Gemma 3 1B Instruct,Google,Google training dataset,34.51%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,34.35%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,34.24%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,33.44%
Gemma 2 9B,Google,Google training dataset,33.34%
Mistral Medium 3.1,Mistral,Mistral training dataset,33.25%
Llama 4 Maverick,Meta,Meta training dataset,33.23%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,31.34%
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,30.82%
Qwen2.5 Max,Alibaba,Alibaba training dataset,30.22%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,30.09%
