Model Name,Provider,Dataset,Use Case Score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,64.57%
MiniMax-M2,MiniMax,MiniMax training dataset,61.88%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,61.62%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,58.28%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,57.21%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,57.01%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,56.23%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,56.09%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,56.07%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,55.73%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,55.51%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,55.40%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,55.23%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,53.41%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,52.85%
Qwen3 Max,Alibaba,Alibaba training dataset,52.76%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,52.58%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,52.33%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,52.26%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,52.20%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,51.81%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,51.35%
Magistral Medium 1.2,Mistral,Mistral training dataset,50.76%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,50.37%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,50.21%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,49.88%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,49.73%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,49.73%
Kimi K2,Moonshot AI,Moonshot AI training dataset,49.61%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,49.60%
MiniMax M1 80k,MiniMax,MiniMax training dataset,49.07%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,48.99%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,48.94%
Ring-1T,InclusionAI,InclusionAI training dataset,48.84%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,48.54%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,48.35%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,48.25%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,48.11%
GLM-4.5-Air,Z AI,Z AI training dataset,48.07%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,47.98%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,47.87%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,47.61%
MiniMax M1 40k,MiniMax,MiniMax training dataset,47.51%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,47.40%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,47.38%
Magistral Small 1.2,Mistral,Mistral training dataset,47.34%
