Model Name,Provider,Dataset,Use Case Score
RedHatAI/Kimi-K2-Instruct-quantized.w4a16,RedHatAI,Moonshot AI training dataset,87.33%
RedHatAI/DeepSeek-R1-0528-quantized.w4a16,RedHatAI,DeepSeek training dataset,84.42%
openai/gpt-oss-120b,openai,OpenAI training dataset,78.70%
openai/gpt-oss-120b,openai,OpenAI training dataset,78.70%
openai/gpt-oss-20b,openai,OpenAI training dataset,61.30%
openai/gpt-oss-20b,openai,OpenAI training dataset,61.30%
Qwen/Qwen2.5-7B-Instruct,Qwen,Qwen Training,60.78%
qwen/qwen2.5-7b-instruct,qwen,Qwen Training,60.78%
RedHatAI/Qwen2.5-7B-Instruct-FP8-dynamic,RedHatAI,Qwen Training,60.47%
RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16,RedHatAI,Qwen Training,59.56%
RedHatAI/Qwen3-Coder-480B-A35B-Instruct-FP8,RedHatAI,Alibaba training dataset,57.34%
RedHatAI/NVIDIA-Nemotron-Nano-9B-v2-FP8-dynamic,RedHatAI,NVIDIA training dataset,55.09%
meta-llama/Llama-4-Maverick-17B-128E-Instruct,meta-llama,Meta training dataset,40.28%
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,meta-llama,Meta training dataset,40.28%
meta-llama/Llama-3.3-70B-Instruct,meta-llama,Meta training dataset,36.53%
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,RedHatAI,Meta training dataset,36.53%
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,RedHatAI,Meta training dataset,36.53%
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,RedHatAI,Meta training dataset,36.53%
meta-llama/llama-3.3-70b-instruct,meta-llama,N/A,36.53%
mistralai/Mistral-Small-3.1-24B-Instruct-2503,mistralai,Mistral Training,36.32%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-FP8-dynamic,RedHatAI,Mistral Training,36.32%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w4a16,RedHatAI,Mistral Training,36.32%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,RedHatAI,Mistral Training,36.32%
mistralai/mistral-small-3.1-24b-instruct-2503,mistralai,N/A,36.32%
mistralai/Mistral-Small-24B-Instruct-2501,mistralai,Mistral Training,35.96%
mistralai/mistral-small-24b-instruct-2501,mistralai,Mistral Training,35.96%
meta-llama/Llama-4-Scout-17B-16E-Instruct,meta-llama,Meta training dataset,33.92%
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,RedHatAI,Meta training dataset,33.92%
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,RedHatAI,Meta training dataset,33.92%
RedHatAI/Qwen2.5-7B-Instruct-quantized.w8a8,RedHatAI,Qwen Training,31.43%
Qwen/Qwen3-8B-FP8,Qwen,Alibaba training dataset,30.66%
RedHatAI/Qwen3-8B-FP8-dynamic,RedHatAI,Alibaba training dataset,30.66%
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,nvidia,NVIDIA training dataset,29.49%
RedHatAI/Llama-3.1-Nemotron-70B-Instruct-HF-FP8-dynamic,RedHatAI,NVIDIA training dataset,29.49%
microsoft/phi-4,microsoft,Microsoft Azure training dataset,24.68%
RedHatAI/phi-4-FP8-dynamic,RedHatAI,Microsoft Azure training dataset,24.68%
RedHatAI/phi-4-quantized.w4a16,RedHatAI,Microsoft Azure training dataset,24.68%
RedHatAI/phi-4-quantized.w8a8,RedHatAI,Microsoft Azure training dataset,24.68%
microsoft/phi-4,microsoft,Microsoft Azure training dataset,24.68%
meta-llama/Llama-3.1-8B-Instruct,meta-llama,Meta training dataset,20.48%
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,RedHatAI,Meta training dataset,20.48%
meta-llama/llama-3.1-8b-instruct,meta-llama,N/A,20.48%
RedHatAI/gemma-3n-E4B-it-FP8-dynamic,RedHatAI,Google training dataset,18.08%
mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai,Mistral training dataset,16.48%
mistralai/mixtral-8x7b-instruct-v0.1,mistralai,N/A,16.48%
ibm-granite/granite-3.1-8b-instruct,ibm-granite,Granite Training,15.03%
ibm-granite/granite-3.1-8b-instruct,ibm-granite,Granite Training,15.03%
RedHatAI/granite-3.1-8b-instruct-fp8-dynamic,RedHatAI,Granite Training,14.93%
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,RedHatAI,Granite Training,14.65%
RedHatAI/SmolLM3-3B-FP8-dynamic,RedHatAI,N/A,0.00%
