Model Name,Provider,Dataset,Use Case Score
RedHatAI/Kimi-K2-Instruct-quantized.w4a16,RedHatAI,Moonshot AI training dataset,87.51%
RedHatAI/DeepSeek-R1-0528-quantized.w4a16,RedHatAI,DeepSeek training dataset,82.07%
openai/gpt-oss-120b,openai,OpenAI training dataset,77.08%
openai/gpt-oss-120b,openai,OpenAI training dataset,77.08%
openai/gpt-oss-20b,openai,OpenAI training dataset,58.42%
openai/gpt-oss-20b,openai,OpenAI training dataset,58.42%
Qwen/Qwen2.5-7B-Instruct,Qwen,Qwen Training,58.06%
qwen/qwen2.5-7b-instruct,qwen,Qwen Training,58.06%
RedHatAI/Qwen2.5-7B-Instruct-FP8-dynamic,RedHatAI,Qwen Training,57.77%
RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16,RedHatAI,Qwen Training,56.90%
RedHatAI/Qwen3-Coder-480B-A35B-Instruct-FP8,RedHatAI,Alibaba training dataset,53.20%
RedHatAI/NVIDIA-Nemotron-Nano-9B-v2-FP8-dynamic,RedHatAI,NVIDIA training dataset,49.12%
meta-llama/Llama-4-Maverick-17B-128E-Instruct,meta-llama,Meta training dataset,36.42%
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,meta-llama,Meta training dataset,36.42%
mistralai/Mistral-Small-3.1-24B-Instruct-2503,mistralai,Mistral Training,32.90%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-FP8-dynamic,RedHatAI,Mistral Training,32.90%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w4a16,RedHatAI,Mistral Training,32.90%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,RedHatAI,Mistral Training,32.90%
mistralai/mistral-small-3.1-24b-instruct-2503,mistralai,N/A,32.90%
meta-llama/Llama-3.3-70B-Instruct,meta-llama,Meta training dataset,32.12%
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,RedHatAI,Meta training dataset,32.12%
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,RedHatAI,Meta training dataset,32.12%
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,RedHatAI,Meta training dataset,32.12%
meta-llama/llama-3.3-70b-instruct,meta-llama,N/A,32.12%
mistralai/Mistral-Small-24B-Instruct-2501,mistralai,Mistral Training,31.86%
mistralai/mistral-small-24b-instruct-2501,mistralai,Mistral Training,31.86%
meta-llama/Llama-4-Scout-17B-16E-Instruct,meta-llama,Meta training dataset,29.90%
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,RedHatAI,Meta training dataset,29.90%
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,RedHatAI,Meta training dataset,29.90%
Qwen/Qwen3-8B-FP8,Qwen,Alibaba training dataset,27.08%
RedHatAI/Qwen3-8B-FP8-dynamic,RedHatAI,Alibaba training dataset,27.08%
RedHatAI/Qwen2.5-7B-Instruct-quantized.w8a8,RedHatAI,Qwen Training,27.06%
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,nvidia,NVIDIA training dataset,25.30%
RedHatAI/Llama-3.1-Nemotron-70B-Instruct-HF-FP8-dynamic,RedHatAI,NVIDIA training dataset,25.30%
microsoft/phi-4,microsoft,Microsoft Azure training dataset,20.74%
RedHatAI/phi-4-FP8-dynamic,RedHatAI,Microsoft Azure training dataset,20.74%
RedHatAI/phi-4-quantized.w4a16,RedHatAI,Microsoft Azure training dataset,20.74%
RedHatAI/phi-4-quantized.w8a8,RedHatAI,Microsoft Azure training dataset,20.74%
microsoft/phi-4,microsoft,Microsoft Azure training dataset,20.74%
meta-llama/Llama-3.1-8B-Instruct,meta-llama,Meta training dataset,16.38%
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,RedHatAI,Meta training dataset,16.38%
meta-llama/llama-3.1-8b-instruct,meta-llama,N/A,16.38%
mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai,Mistral training dataset,14.13%
mistralai/mixtral-8x7b-instruct-v0.1,mistralai,N/A,14.13%
RedHatAI/gemma-3n-E4B-it-FP8-dynamic,RedHatAI,Google training dataset,13.76%
ibm-granite/granite-3.1-8b-instruct,ibm-granite,Granite Training,10.94%
ibm-granite/granite-3.1-8b-instruct,ibm-granite,Granite Training,10.94%
RedHatAI/granite-3.1-8b-instruct-fp8-dynamic,RedHatAI,Granite Training,10.84%
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,RedHatAI,Granite Training,10.56%
RedHatAI/SmolLM3-3B-FP8-dynamic,RedHatAI,N/A,0.00%
