Model Name,Provider,Dataset,Use Case Score
RedHatAI/Kimi-K2-Instruct-quantized.w4a16,RedHatAI,Moonshot AI training dataset,87.03%
RedHatAI/DeepSeek-R1-0528-quantized.w4a16,RedHatAI,DeepSeek training dataset,86.70%
openai/gpt-oss-120b,openai,OpenAI training dataset,72.52%
openai/gpt-oss-120b,openai,OpenAI training dataset,72.52%
Qwen/Qwen2.5-7B-Instruct,Qwen,Qwen Training,61.58%
qwen/qwen2.5-7b-instruct,qwen,Qwen Training,61.58%
RedHatAI/Qwen2.5-7B-Instruct-FP8-dynamic,RedHatAI,Qwen Training,61.27%
RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16,RedHatAI,Qwen Training,60.35%
openai/gpt-oss-20b,openai,OpenAI training dataset,57.84%
openai/gpt-oss-20b,openai,OpenAI training dataset,57.84%
RedHatAI/Qwen3-Coder-480B-A35B-Instruct-FP8,RedHatAI,Alibaba training dataset,56.10%
meta-llama/Llama-4-Maverick-17B-128E-Instruct,meta-llama,Meta training dataset,45.21%
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,meta-llama,Meta training dataset,45.21%
mistralai/Mistral-Small-3.1-24B-Instruct-2503,mistralai,Mistral Training,43.52%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-FP8-dynamic,RedHatAI,Mistral Training,43.52%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w4a16,RedHatAI,Mistral Training,43.52%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,RedHatAI,Mistral Training,43.52%
mistralai/mistral-small-3.1-24b-instruct-2503,mistralai,,43.52%
RedHatAI/NVIDIA-Nemotron-Nano-9B-v2-FP8-dynamic,RedHatAI,NVIDIA training dataset,42.89%
meta-llama/Llama-3.3-70B-Instruct,meta-llama,Meta training dataset,42.50%
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,RedHatAI,Meta training dataset,42.50%
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,RedHatAI,Meta training dataset,42.50%
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,RedHatAI,Meta training dataset,42.50%
meta-llama/llama-3.3-70b-instruct,meta-llama,,42.50%
mistralai/Mistral-Small-24B-Instruct-2501,mistralai,Mistral Training,41.60%
mistralai/mistral-small-24b-instruct-2501,mistralai,Mistral Training,41.60%
meta-llama/Llama-4-Scout-17B-16E-Instruct,meta-llama,Meta training dataset,40.40%
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,RedHatAI,Meta training dataset,40.40%
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,RedHatAI,Meta training dataset,40.40%
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,nvidia,NVIDIA training dataset,39.30%
