Model Name,Provider,Dataset,Use Case Score
RedHatAI/DeepSeek-R1-0528-quantized.w4a16,RedHatAI,DeepSeek training dataset,88.12%
RedHatAI/Kimi-K2-Instruct-quantized.w4a16,RedHatAI,Moonshot AI training dataset,87.06%
openai/gpt-oss-120b,openai,OpenAI training dataset,72.78%
openai/gpt-oss-120b,openai,OpenAI training dataset,72.78%
Qwen/Qwen2.5-7B-Instruct,Qwen,Qwen Training,63.37%
qwen/qwen2.5-7b-instruct,qwen,Qwen Training,63.37%
RedHatAI/Qwen2.5-7B-Instruct-FP8-dynamic,RedHatAI,Qwen Training,63.05%
RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16,RedHatAI,Qwen Training,62.10%
openai/gpt-oss-20b,openai,OpenAI training dataset,58.91%
openai/gpt-oss-20b,openai,OpenAI training dataset,58.91%
RedHatAI/Qwen3-Coder-480B-A35B-Instruct-FP8,RedHatAI,Alibaba training dataset,57.80%
meta-llama/Llama-4-Maverick-17B-128E-Instruct,meta-llama,Meta training dataset,46.59%
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,meta-llama,Meta training dataset,46.59%
mistralai/Mistral-Small-3.1-24B-Instruct-2503,mistralai,Mistral Training,45.28%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-FP8-dynamic,RedHatAI,Mistral Training,45.28%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w4a16,RedHatAI,Mistral Training,45.28%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,RedHatAI,Mistral Training,45.28%
mistralai/mistral-small-3.1-24b-instruct-2503,mistralai,N/A,45.28%
meta-llama/Llama-3.3-70B-Instruct,meta-llama,Meta training dataset,44.65%
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,RedHatAI,Meta training dataset,44.65%
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,RedHatAI,Meta training dataset,44.65%
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,RedHatAI,Meta training dataset,44.65%
meta-llama/llama-3.3-70b-instruct,meta-llama,N/A,44.65%
RedHatAI/NVIDIA-Nemotron-Nano-9B-v2-FP8-dynamic,RedHatAI,NVIDIA training dataset,44.61%
mistralai/Mistral-Small-24B-Instruct-2501,mistralai,Mistral Training,43.70%
mistralai/mistral-small-24b-instruct-2501,mistralai,Mistral Training,43.70%
meta-llama/Llama-4-Scout-17B-16E-Instruct,meta-llama,Meta training dataset,42.05%
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,RedHatAI,Meta training dataset,42.05%
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,RedHatAI,Meta training dataset,42.05%
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,nvidia,NVIDIA training dataset,41.55%
RedHatAI/Llama-3.1-Nemotron-70B-Instruct-HF-FP8-dynamic,RedHatAI,NVIDIA training dataset,41.55%
Qwen/Qwen3-8B-FP8,Qwen,Alibaba training dataset,40.78%
RedHatAI/Qwen3-8B-FP8-dynamic,RedHatAI,Alibaba training dataset,40.78%
mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai,Mistral training dataset,34.90%
mistralai/mixtral-8x7b-instruct-v0.1,mistralai,N/A,34.90%
RedHatAI/Qwen2.5-7B-Instruct-quantized.w8a8,RedHatAI,Qwen Training,34.54%
microsoft/phi-4,microsoft,Microsoft Azure training dataset,32.92%
RedHatAI/phi-4-FP8-dynamic,RedHatAI,Microsoft Azure training dataset,32.92%
RedHatAI/phi-4-quantized.w4a16,RedHatAI,Microsoft Azure training dataset,32.92%
RedHatAI/phi-4-quantized.w8a8,RedHatAI,Microsoft Azure training dataset,32.92%
microsoft/phi-4,microsoft,Microsoft Azure training dataset,32.92%
meta-llama/Llama-3.1-8B-Instruct,meta-llama,Meta training dataset,27.66%
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,RedHatAI,Meta training dataset,27.66%
meta-llama/llama-3.1-8b-instruct,meta-llama,N/A,27.66%
RedHatAI/gemma-3n-E4B-it-FP8-dynamic,RedHatAI,Google training dataset,23.06%
ibm-granite/granite-3.1-8b-instruct,ibm-granite,Granite Training,15.36%
ibm-granite/granite-3.1-8b-instruct,ibm-granite,Granite Training,15.36%
RedHatAI/granite-3.1-8b-instruct-fp8-dynamic,RedHatAI,Granite Training,15.31%
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,RedHatAI,Granite Training,15.15%
RedHatAI/SmolLM3-3B-FP8-dynamic,RedHatAI,N/A,0.00%
