Model Name,Provider,Dataset,Use Case Score
RedHatAI/DeepSeek-R1-0528-quantized.w4a16,RedHatAI,DeepSeek training dataset,88.49%
RedHatAI/Kimi-K2-Instruct-quantized.w4a16,RedHatAI,Moonshot AI training dataset,86.66%
openai/gpt-oss-120b,openai,OpenAI training dataset,73.53%
openai/gpt-oss-120b,openai,OpenAI training dataset,73.53%
Qwen/Qwen2.5-7B-Instruct,Qwen,Qwen Training,63.11%
qwen/qwen2.5-7b-instruct,qwen,Qwen Training,63.11%
RedHatAI/Qwen2.5-7B-Instruct-FP8-dynamic,RedHatAI,Qwen Training,62.79%
RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16,RedHatAI,Qwen Training,61.85%
openai/gpt-oss-20b,openai,OpenAI training dataset,59.98%
openai/gpt-oss-20b,openai,OpenAI training dataset,59.98%
RedHatAI/Qwen3-Coder-480B-A35B-Instruct-FP8,RedHatAI,Alibaba training dataset,59.56%
meta-llama/Llama-4-Maverick-17B-128E-Instruct,meta-llama,Meta training dataset,49.75%
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,meta-llama,Meta training dataset,49.75%
RedHatAI/NVIDIA-Nemotron-Nano-9B-v2-FP8-dynamic,RedHatAI,NVIDIA training dataset,47.23%
mistralai/Mistral-Small-3.1-24B-Instruct-2503,mistralai,Mistral Training,47.21%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-FP8-dynamic,RedHatAI,Mistral Training,47.21%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w4a16,RedHatAI,Mistral Training,47.21%
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,RedHatAI,Mistral Training,47.21%
mistralai/mistral-small-3.1-24b-instruct-2503,mistralai,,47.21%
meta-llama/Llama-3.3-70B-Instruct,meta-llama,Meta training dataset,46.88%
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,RedHatAI,Meta training dataset,46.88%
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,RedHatAI,Meta training dataset,46.88%
